TaxonName,TaxonCode
Cymbella latens,Cymla03
Cymbella lunata,Cymlu01
Cymbella maggiana,Cymma01
Cymbella mesiana,Cymme01
Cymbella mexicana,Cymme02
Cymbella minuta,Cymmi01
Cymbella naviculiformis,Cymna01
Cymbella neocistula,Cymne01
Cymbella neolanceolata,Cymne02
Cymbella neoleptoceros,Cymne03
Cymbella obtusa,Cymob01
Cymbella paucistriata,Cympa01
Cymbella perparva,Cympe01
Cymbella perpusilla,Cympe02
Cymbella plena,Cympl01
Cymbella problematica,Cympr01
Cymbella procera,Cympr02
Cymbella proxima,Cympr03
Cymbella pusilla,Cympu01
Cymbella reichardtii,Cymre01
Cymbella rupicola,Cymru01
Cymbella silesiaca,Cymsi01
Cymbella simonsenii,Cymsi02
Cymbella sinuata,Cymsi03
Cymbella spuria,Cymsp01
Cymbella stigmaphora,Cymst01
Cymbella subaequalis,Cymsu01
Cymbella subalpina,Cymsu02
Cymbella subcistula,Cymsu03
Cymbella subcuspidata,Cymsu04
Cymbella subhelvetica,Cymsu05
Cymbella subleptoceros,Cymsu06
Cymbella subtruncata,Cymsu07
Cymbella subturgidula,Cymsu08
Cymbella tridentina,Cymtr01
Cymbella tropica,Cymtr02
Cymbella tumida,Cymtu01
Cymbella tumidula,Cymtu02
Cymbella turgidula,Cymtu03
Cymbella turgiduliformis,Cymtu04
Cymbella ventricosa,Cymve01
Cymbella vulgata,Cymvu01
Cymbellonitzschia diluviana,Cymdi01
Cymbopleura anglica,Cyman03
Cymbopleura angustata,Cyman04
Cymbopleura elliptica,Cymel02
Cymbopleura frequens,Cymfr01
Cymbopleura inaequaliformis,Cymin02
Cymbopleura incertiformis,Cymin03
Cymbopleura kuelbsii,Cymku01
Cymbopleura naviculiformis,Cymna02
Cymbopleura oblongata,Cymob02
Cymbopleura rhomboidea,Cymrh01
Cymbopleura subaequalis,Cymsu09
Delicata costei,Delco01
Delicata delicatula,Delde01
Delicata krammeri,Delkr01
Delicata verenae,Delve01
Delicatophycus alpestris,Delal01
Delicatophycus apiculatus,Delap01
Delicatophycus delicatulus,Delde02
Denticula erifuga,Dener01
Denticula frigida,Denfr01
Denticula kuetzingii,Denku01
Denticula parva,Denpa01
Denticula seminae,Dense01
